Index;;Description;;First segment;Last segment;;Player Anim;NPC Anim;Cutscene;;Stats Required;Stats To Get;;Norwegian;Main Link;Option 1;Link;Alt. Link;Story Value;Option 2;Link;Alt. Link;Story Value;Option 3;Link;Alt. Link;Story Value;Option 4;Link;Alt. Link;Story Value;;English;Option 1;Option 2;Option 3;Option 4;;German;Option 1;Option 2;Option 3;Option 4;;Chinese;Option 1;Option 2;Option 3;Option 4;;Japanese;Option 1;Option 2;Option 3;Option 4;;Korean;Option 1;Option 2;Option 3;Option 4
1;;Opening 1;;x;;;;7;;;Floriel 5;;;Hjelp meg! Jeg kommer til å drukne!;2;;;;;;;;;;;;;;;;;;Help me! I'm gonna drown!;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;;x;;;;;;7;;;;;;Jeg har vann i nesa! Jeg får ikke puste!;3;;;;;;;;;;;;;;;;;;There's water in my nose! I can't breathe!;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;;Options 1 - 1;;;;;;7;;;;;;Dette er forferdelig! Hjelp meg!;;Ro deg ned!;4;;;Du er ute i vannet! Så bra!;5;;;Det går bra. Jeg er her.;6;;;;;;;;This is awful! Help me!;Calm down!;You're in the water! That's great!;It's okay. I'm here.;;;;;;;;;;;;;;;;;;;;;;;;;
4;;x;;;;;;7;;;;;;AAAAAAAHH!;7;;;;;;;;;;;;;;;;;;AAAAAAAHH!;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;;x;;;;;;7;;;;;;Nei, det er ikke bra! Dette er forferdelig!;7;;;;;;;;;;;;;;;;;;No, it's not great! It's awful!;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;;x;;;;;;7;;;;;;Hjelp meg! Jeg takler det ikke!;8;;;;;;;;;;;;;;;;;;Help me! I can't do it!;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;;Options 1 - 2;;;;;;7;;;;;;Ikke bare stå der og se på! Hjelp meg!;;Ikke fortell meg hva jeg skal gjøre!;9;;;Ro deg ned! Du kan klare det selv.;9;;;Det går bra. Jeg har deg.;13;;;;;;;;Don't just stand there and watch! Help me!;Don't tell me what to do!;Calm down! you can do it yourself.;It's okay. I've got you.;;;;;;;;;;;;;;;;;;;;;;;;;
8;;Options 1 - 3;;;;;;7;;;;;;Vannet drar meg nedover!;;Slutt å klage! Ro deg ned!;9;;;Pust rolig! Du kan klare det selv.;9;;;Det går bra. Jeg har deg.;13;;;;;;;;The water's pulling me down!;Stop whining! Calm down!;Breathe slowly! You can do it yourself.;It's okay. I've got you.;;;;;;;;;;;;;;;;;;;;;;;;;
9;;x;;;;;;7;;;;;;AAAAAAAAAAAAAAAAAAAAAAHHHHHH!;10;;;;;;;;;;;;;;;;;;AAAAAAAAAAAAAAAAAAAAAAHHHHHH!;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;;x;;;;;;7;;;;;;BLBLPRLBHLPLR!;11;;;;;;;;;;;;;;;;;;BLBLPRLBHLPLR!;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;;x;;;;;;5;;;;;;Okay! Okay! Jeg tror jeg skjønner det nå.;12;;;;;;;;;;;;;;;;;;Okay! Okay! I think I get it now.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;;x;;;;;;7;;;;;;Nei! Det er fortsatt umulig! Aahh!;16;;;;;;;;;;;;;;;;;;No! It's still impossible! Aahh!;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;;x;;;;;;5;;;;;;Takk! Du reddet meg! Jeg vet ikke hva jeg skulle ha gjort om du ikke var her!;14;;;;;;;;;;;;;;;;;;Thank you! You saved me! I don't know what I'd do if you weren't here!;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;;x;;;;;;5;;;;;;Okay... Så hvis jeg bare... Hmm... Okay... Jeg tror jeg kan svømme.;15;;;;;;;;;;;;;;;;;;Okay… So if I just… Hmm… Okay… I think I can swim.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;;x;;;;;;3;;;;;;Se på meg! Jeg er ute i vannet! Jeg svømmer!;17;;;;;;;;;;;;;;;;;;Look at me! I'm in the water! I'm swimming!;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;;Ending 1;;;x;;;5;;;;Floriel 7;;Hvis den blomsten ikke gjør meg lykkelig etter alt jeg har vært gjennom for å finne den..!;;;;;;;;;;;;;;;;;;;If that flower doesn't make me happy after everything I've been through to find it..!;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;;Ending 2;;;x;;;2;;;;Floriel 8;;Hvis jeg kan klare dette, så kan jeg kan klare hva som helst! Jeg kommer til å finne blomsten!;;;;;;;;;;;;;;;;;;;If I can do this, I can do anything! I'm gonna find the flower!;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;;Opening 2;;x;;;;2;;;Floriel 6;;;Se på meg! Jeg svømmer! Jeg fikk det til!;19;;;;;;;;;;;;;;;;;;Look at me! I'm swimming! I did it!;;;;;;;;;;;;;;;;;;;;;;;;;;;;
