Index;;Description;;First segment;Last segment;;Player Anim;NPC Anim;Cutscene;;Stats Required;Stats To Get;;Norwegian;Main Link;Option 1;Link;Alt. Link;Story Value;Option 2;Link;Alt. Link;Story Value;Option 3;Link;Alt. Link;Story Value;Option 4;Link;Alt. Link;Story Value;;English;Option 1;Option 2;Option 3;Option 4;;German;Option 1;Option 2;Option 3;Option 4;;Chinese;Option 1;Option 2;Option 3;Option 4;;Japanese;Option 1;Option 2;Option 3;Option 4;;Korean;Option 1;Option 2;Option 3;Option 4
1;;Opening 1;;x;;;;3;;;7;;;Her er den! Dette er blomsten jeg har lett etter!;2;;;;;;;;;;;;;;;;;;Here it is! This is the flower I've been looking for!;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;;Options 1 - 1;;;;;;3;;;;;;Jeg fant den! Den er ekte!;;Visste du ikke engang om den var ekte?;3;;;Fantastisk! Hva nå?;4;;;Du fant den! Så bra!;4;;;;;;;;I found it! It's real!;You didn't even know if it was real?;Awesome! Now what?;You found it! That's great!;;;;;;;;;;;;;;;;;;;;;;;;;
3;;x;;;;;;4;;;;;;Vel... Nei, ikke egentlig... Men jeg visste at den var ekte dypt inni meg.;4;;;;;;;;;;;;;;;;;;Well… No, not really… But I knew it was real deep inside.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;;x;;;;;;2;;;;;;Jeg fant den! Den er min! Nå kan jeg endelig fullføre den nydelige blomsterkransen min!;5;;;;;;;;;;;;;;;;;;I found it! It's mine! Now I can finally finish my beautiful wreath!;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;;Options 1 - 2;;;;;;2;;;;;;Er den ikke fin?;;Ja.;6;;;Nei.;7;;;;;;;;;;;;Isn't it pretty?;Yes.;No.;;;;;;;;;;;;;;;;;;;;;;;;;;
6;;x;;;;;;3;;;;;;Så fin!;8;;;;;;;;;;;;;;;;;;So pretty!;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;;x;;;;;;5;;;;;;Nei? Etter alt jeg har vært gjennom for å finne den?;8;;;;;;;;;;;;;;;;;;No? After everything I've been through to find it?;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;;x;;;;;;5;;;;;;Men... Jeg trodde den skulle være mer magisk... At jeg skulle føle noe når jeg tok på den...;9;;;;;;;;;;;;;;;;;;But… I thought it would be more magical… That I would feel something when I touched it…;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;;x;;;;;;8;;;;;;Det er en hemmelighet blomsten ikke forteller meg! Jeg må løse gåten!;10;;;;;;;;;;;;;;;;;;There's a secret the flower isn't telling me! I have to solve the puzzle!;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;;Ending 1;;;x;;;1;;;;9;;...Hvorfor føler jeg ingenting?...;;;;;;;;;;;;;;;;;;;…Why am I not feeling anything?...;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;;Opening 2;;x;;;;3;;;;;;Her er den! Dette er blomsten jeg har lett etter!;12;;;;;;;;;;;;;;;;;;Here it is! This is the flower I've been looking for!;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;;Options 2 - 1;;;;;;3;;;;;;Jeg fant den! Den er ekte!;;Visste du ikke engang om den var ekte?;13;;;Fantastisk! Hva nå?;14;;;Du fant den! Så bra!;14;;;;;;;;I found it! It's real!;You didn't even know if it was real?;Awesome! Now what?;You found it! That's great!;;;;;;;;;;;;;;;;;;;;;;;;;
13;;x;;;;;;4;;;;;;Vel... Nei, ikke egentlig... Men jeg visste at den var ekte dypt inni meg.;14;;;;;;;;;;;;;;;;;;Well… No, not really… But I knew it was real deep inside.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;;x;;;;;;2;;;;;;Jeg fant den! Den er min! Nå kan jeg endelig fullføre den nydelige blomsterkransen min!;15;;;;;;;;;;;;;;;;;;I found it! It's mine! Now I can finally finish my beautiful wreath!;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;;x;;;;;;8;;;;;;Men... Etter alt jeg har vært gjennom... Alt du har hjulpet meg gjennom... Den reisen vi har vært på...;16;;;;;;;;;;;;;;;;;;But… After everything I've been through… Everything you've helped me through… The journey we've been on…;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;;Options 2 - 2;;;;;;5;;;;;;Kanskje jeg ikke trenger blomsten for å være lykkelig...;;Etter alt dette, skal du forlate den?;17;;;Du trenger den ikke.;17;;;;;;;;;;;;Maybe I don't need the flower to be happy…;After all this, you're gonna leave it?;You don't need it.;;;;;;;;;;;;;;;;;;;;;;;;;;
17;;x;;;;;;5;;;;;;Jeg innså det etter at du hjalp meg å komme over frykten min.;18;;;;;;;;;;;;;;;;;;I realized it after you helped me get over my fear.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;;x;;;;;;4;;;;;;Alt det jeg har opplevd, den reisen vi har vært på, det å overkomme frykten min, alt vi har gjort for å finne denne blomsten... Det har gitt meg så mye mer enn selve blomsten kan.;19;;;;;;;;;;;;;;;;;;Everything I've experienced, the journey we've been on, overcoming my fear, everything we've done to find this flower… It has given me so much more than the flower itself ever can.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;;Ending 2;;;x;;;3;;;;10;;Takk for at har hjulpet meg å komme hit. Takk for at du har hjulpet meg å finne lykken.;;;;;;;;;;;;;;;;;;;Thank you for helping me get here. Thank you for helping me find happiness.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
