Index;;Description;;First segment;Last segment;;Player Anim;NPC Anim;Cutscene;;Stats Required;Stats To Get;;Norwegian;Main Link;Option 1;Link;Alt. Link;Story Value;Option 2;Link;Alt. Link;Story Value;Option 3;Link;Alt. Link;Story Value;Option 4;Link;Alt. Link;Story Value;;English;Option 1;Option 2;Option 3;Option 4;;German;Option 1;Option 2;Option 3;Option 4;;Chinese;Option 1;Option 2;Option 3;Option 4;;Japanese;Option 1;Option 2;Option 3;Option 4;;Korean;Option 1;Option 2;Option 3;Option 4
1;;Opening 1;;x;;;;5;;;Floriel 3;;;Jeg har enda ikke funnet blomsten! Den må være i vannet!;2;;;;;;;;;;;;;;;;;;I still haven't found the flower! It must be in the water!;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;;Options 1 - 1;;;;;;7;;;;;;Har du heller ikke funnet den? Jeg tror jeg bare må lete i vannet selv. Ååh, jeg tør ikke!;;Stoler du ikke på meg?;3;;;Slutt å klage! Bare gjør det!;5;;;Vil du at jeg skal bli med deg ut i vannet?;6;;;Du kan få det til.;7;;;;You haven't found it either? I think I just have to search the water myself. Oh, I'm too scared!;Do you not trust me?;Stop whining! Just do it!;Do you want me to join you in the water?;You can do it.;;;;;;;;;;;;;;;;;;;;;;;;
3;;x;;;;;;5;;;;;;Joda, jeg gjør det! Kanskje du bare kan fortsette å lete i vannet for meg...;4;;;;;;;;;;;;;;;;;;Yes, I do! Maybe you can just keep searching the water for me…;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;;x;;;;;;7;;;;;;Nei, jeg må se selv! Men jeg klarer ikke!;8;;;;;;;;;;;;;;;;;;No, I have to see for myself! But I can't do it!;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;;x;;;;;;7;;;;;;Jeg klarer ikke!;8;;;;;;;;;;;;;;;;;;I can't do it!;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;;x;;;;;;5;;;;;;Ja, kanskje det er lettere hvis du er med meg...;9;;;;;;;;;;;;;;;;;;Yeah, maybe it's easier if you're with me…;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;;x;;;;;;5;;;;;;Ja, kanskje jeg kan gjøre det...;9;;;;;;;;;;;;;;;;;;Yeah, maybe I can do it…;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;;Options 1 - 2;;;;;;1;;;;;;Jeg er så patetisk!;;Slutt å klage! Du må bare gjøre det!;12;;;Ja, det er du.;16;;;Nei, det er du ikke.;13;;;;;;;;I'm so pathetic!;Stop whining! You just have to do it!;Yes, you are.;No, you're not.;;;;;;;;;;;;;;;;;;;;;;;;;
9;;x;;;;;;4;;;;;;Jeg kan gjøre det! Jeg kommer til å gjøre det! Jeg kan gå ut i vannet! Det kommer til å gå bra!;10;;;;;;;;;;;;;;;;;;I can do it! I'm gonna do it! I can go into the water! It's gonna be fine!;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;;x;;;;;;5;;;;;;Men hva om jeg ikke klarer det... Hva om jeg drukner... Da kommer jeg vel bare tilbake... Tror jeg...;11;;;;;;;;;;;;;;;;;;But what if I can't do it… What if I drown… Then I'll just come back… I think…;;;;;;;;;;;;;;;;;;;;;;;;;;;;
